English,Portuguese
song,canção
measure,medir
door,porta
product,produto
black,preto
short,curto
numeral,numeral
class,aula
wind,vento
question,pergunta
happen,acontecer
complete,completo
ship,enviar
area,área
half,metade
rock,pedra
order,ordem
fire,fogo
south,sul
problem,problema
piece,pedaço
told,contado
knew,sabia
pass,passar
since,desde
top,principal
whole,todo
king,rei
space,espaço
heard,ouviu
best,melhor
hour,hora
better,melhorar
TRUE,verdadeiro
during,durante
hundred,centenas
five,cinco
remember,lembrar
step,etapa
early,cedo
hold,segurar
west,oeste
ground,chão
interest,interesse
reach,alcançar
fast,rápido
verb,verbo
sing,cantar
listen,ouvir
six,seis
table,mesa
travel,viagem
less,menos
morning,manhã
ten,dez
simple,simples
several,diversos
vowel,vogal
toward,na direção
war,guerra
lay,deitar
against,contra
pattern,padrão
slow,lento
center,centro
love,amor
person,pessoa
money,dinheiro
serve,servir
appear,aparecer
road,estrada
map,mapa
rain,chuva
rule,regra
govern,governar
pull,puxar
cold,frio
notice,perceber
voice,voz
unit,unidade
power,poder
town,cidade
fine,multar
certain,certo
fly,voar
fall,cair
lead,liderar
cry,chorar
dark,escuro
machine,máquina
note,observação
wait,espere
plan,plano
figure,figura
star,estrela
box,caixa
noun,substantivo
field,campo
rest,descansar
correct,correto
able,capaz
pound,libra
done,feito
beauty,beleza
drive,dirigir
stood,permaneceu
contain,conter
front,frente
teach,ensinar
week,semana
final,final
gave,deu
green,verde
oh,oh
quick,rápido
develop,desenvolver
ocean,oceano
warm,esquentar
free,livre
minute,minuto
strong,forte
special,especial
mind,mente
behind,atrás
clear,claro
tail,cauda
produce,produzir
fact,fato
street,rua
inch,polegada
multiply,multiplicar
nothing,nada
course,curso
stay,ficar
wheel,roda
full,completo
force,vigor
blue,azul
object,objeto
decide,decidir
surface,superfície
deep,profundo
moon,lua
island,ilha
foot,pé
system,sistema
busy,ocupado
test,teste
record,registro
boat,barco
common,comum
gold,ouro
possible,possível
plane,avião
stead,lugar
dry,seco
wonder,maravilha
laugh,rir
thousand,mil
ago,atrás
ran,corrido
check,verificar
game,jogo
shape,forma
equate,igualar
hot,quente
miss,perder
brought,trouxe
heat,aquecer
snow,neve
tire,pneu
bring,trazer
yes,sim
distant,distante
fill,preencher
east,leste
paint,pintar
language,linguagem
among,entre
grand,grande
ball,bola
yet,ainda
wave,aceno
drop,derrubar
heart,coração
am,sou
present,presente
heavy,pesado
dance,dança
engine,motor
position,posição
arm,braço
wide,largo
sail,velejar
material,material
size,tamanho
vary,variar
settle,resolver
speak,falar
weight,peso
general,em geral
ice,gelo
matter,matéria
circle,círculo
pair,par
include,incluir
divide,dividir
syllable,sílaba
felt,sentido
perhaps,talvez
pick,escolha
sudden,repentino
count,contar
square,quadrado
reason,razão
length,comprimento
represent,representar
art,arte
subject,assunto
region,região
energy,energia
hunt,caçar
probable,provável
bed,cama
brother,irmão
egg,ovo
ride,andar de
cell,célula
believe,acreditar
fraction,fração
forest,floresta
sit,sentar
race,corrida
window,janela
store,loja
summer,verão
train,trem
sleep,dormir
prove,provar
lone,solitário
leg,perna
exercise,exercício
wall,parede
catch,pegar
mount,montar
wish,desejar
sky,céu
board,quadro
joy,alegria
winter,inverno
sat,sentado
written,escrito
wild,selvagem
instrument,instrumento
kept,mantido
glass,vidro
grass,grama
cow,vaca
job,trabalho
edge,borda
sign,sinal
visit,visita
past,passado
soft,macio
fun,diversão
bright,brilhante
gas,gás
weather,clima
month,mês
million,milhão
bear,urso
finish,terminar
happy,feliz
hope,ter esperança
flower,flor
clothe,vestir
strange,estranho
gone,perdido
jump,pular
baby,bebê
eight,oito
village,aldeia
meet,encontrar
root,raiz
buy,comprar
raise,elevação
solve,resolver
metal,metal
whether,se
push,empurrar
seven,Sete
paragraph,parágrafo
third,terceiro
shall,podemos
held,mantido
hair,cabelo
describe,descrever
cook,cozinhar
floor,chão
either,qualquer
result,resultado
burn,queimar
hill,colina
safe,seguro
cat,gato
century,século
consider,considerar
type,tipo
law,lei
bit,pedaço
coast,costa
copy,cópia
phrase,frase
silent,silencioso
tall,alto
sand,areia
soil,solo
roll,rolar
temperature,temperatura
finger,dedo
industry,indústria
value,valor
fight,lutar
lie,mentira
beat,bater
excite,excitar
natural,natural
view,visualizar
sense,senso
ear,orelha
else,outro
quite,bastante
broke,quebrado
case,caso
middle,meio
kill,matar
son,filho
lake,lago
moment,momento
scale,escala
loud,alto
spring,primavera
observe,observar
child,criança
straight,direto
consonant,consoante
nation,nação
dictionary,dicionário
milk,leite
speed,velocidade
method,método
organ,órgão
pay,pagar
age,idade
section,seção
dress,vestir
cloud,nuvem
surprise,surpresa
quiet,quieto
stone,pedra
tiny,pequeno
climb,escalar
cool,legal
design,projeto
poor,pobre
lot,muito
experiment,experimentar
bottom,fundo
key,chave
iron,ferro
single,solteiro
stick,grudar
flat,plano
twenty,vinte
skin,pele
smile,sorriso
crease,vinco
hole,buraco
trade,troca
melody,melodia
trip,viagem
office,escritório
receive,receber
row,linha
mouth,boca
exact,exato
symbol,símbolo
die,morrer
least,ao menos
trouble,dificuldade
shout,gritar
except,exceto
wrote,escreveu
seed,semente
tone,tom
join,juntar
suggest,sugerir
clean,limpar
break,quebrar
lady,senhora
yard,quintal
rise,ascender
bad,ruim
blow,soprar
oil,óleo
blood,sangue
touch,tocar
grew,cresceu
cent,centavo
mix,mistura
team,equipe
wire,arame
cost,custo
lost,perdido
brown,marrom
wear,vestir
garden,jardim
equal,igual
sent,enviado
choose,escolher
fell,caiu
fit,ajustar
flow,fluxo
fair,justo
bank,banco
collect,coletar
save,salvar
control,controlar
decimal,decimal
gentle,gentil
woman,mulher
captain,capitão
practice,prática
separate,separar
difficult,difícil
doctor,doutor
please,por favor
protect,proteger
noon,meio-dia
whose,cujo
locate,localizar
ring,anel
character,personagem
insect,inseto
caught,capturado
period,período
indicate,indicar
radio,rádio
spoke,falou
atom,átomo
human,humano
history,história
effect,efeito
electric,elétrico
expect,esperar
crop,cortar
modern,moderno
element,elemento
hit,bater
student,estudante
corner,canto
party,festa
supply,fornecer
bone,osso
rail,trilho
imagine,imaginar
provide,fornecer
agree,concordar
thus,por isso
capital,capital
won't,não vai
chair,cadeira
danger,perigo
fruit,fruta
rich,rico
thick,espesso
soldier,soldado
process,processo
operate,operar
guess,adivinhar
necessary,necessário
sharp,afiado
wing,asa
create,criar
neighbor,vizinho
wash,lavar
bat,bastão
rather,em vez de
crowd,multidão
corn,milho
compare,comparar
poem,poema
string,corda
bell,sino
depend,depender
meat,carne
rub,esfregar
tube,tubo
famous,famoso
dollar,dólar
stream,fluxo
fear,temer
sight,visão
thin,afinar
triangle,triângulo
planet,planeta
hurry,pressa
chief,chefe
colony,colônia
clock,relógio
mine,meu
tie,gravata
enter,digitar
major,principal
fresh,fresco
search,procurar
send,enviar
yellow,amarelo
gun,pistola
allow,permitir
print,imprimir
dead,morto
spot,ver
desert,deserto
suit,terno
current,atual
lift,elevador
rose,rosa
continue,continuar
block,bloquear
chart,gráfico
hat,chapéu
sell,vender
success,sucesso
company,empresa
subtract,subtrair
event,evento
particular,especial
deal,negócio
swim,nadar
term,prazo
opposite,oposto
wife,esposa
shoe,sapato
shoulder,ombro
spread,espalhar
arrange,arranjo
camp,acampar
invent,inventar
cotton,algodão
born,nascer
determine,determinar
quart,quarto
nine,nove
truck,caminhão
noise,barulho
level,nível
chance,chance
gather,juntar
shop,comprar
stretch,esticar
throw,lançar
shine,brilhar
property,propriedade
column,coluna
molecule,molécula
select,selecione
wrong,errado
gray,cinza
repeat,repita
require,exigir
broad,largo
prepare,preparar
salt,sal
nose,nariz
plural,plural
anger,raiva
claim,alegar
continent,continente
oxygen,oxigênio
sugar,açúcar
death,morte
pretty,bonito
skill,habilidade
women,mulheres
season,temporada
solution,solução
magnet,ímã
silver,prata
thank,agradecer
branch,filial
match,corresponder
suffix,sufixo
especially,especialmente
fig,Figo
afraid,com medo
huge,enorme
sister,irmã
steel,aço
discuss,discutir
forward,avançar
similar,semelhante
guide,guia
experience,experiência
score,pontuação
apple,maçã
bought,comprado
led,liderado
pitch,tom
coat,casaco
mass,massa
card,cartão
band,banda
rope,corda
slip,escorregar
win,ganhar
dream,sonhar
evening,noite
condition,doença
feed,alimentar
tool,ferramenta
total,total
basic,básico
smell,cheiro
valley,vale
nor,nem
double,dobro
seat,assento
arrive,chegar
master,mestre
track,acompanhar
parent,pai
shore,costa
division,divisão
sheet,folha
substance,substância
favor,favor
connect,conectar
post,publicar
spend,gastar
chord,acorde
fat,gordo
glad,alegre
original,original
share,compartilhar
station,estação
dad,pai
bread,pão
charge,cobrar
proper,apropriado
bar,bar
offer,oferecer
segment,segmento
slave,escravo
duck,pato
instant,instantâneo
market,mercado
degree,grau
populate,povoar
chick,garota
dear,querido
enemy,inimigo
reply,responder
drink,bebida
occur,ocorrer
support,apoiar
speech,discurso
nature,natureza
range,faixa
steam,vapor
motion,movimento
path,caminho
liquid,líquido
log,registro
meant,significou
quotient,quociente
teeth,dentes
shell,concha
neck,pescoço
